,tweet,parse
631,@riveron72 Perdón pero cada vez que veo a López Gatell reírse me dan ganas de darle un buen madrazo en el hocico!!! 😡,@riveron72 Perdón pero cada vez que veo a López Gatell reírse me dan ganas de darle un buen madrazo en el hocico!!! 😡
632,"@GlodeJo07 lo ha dicho siempre, una y otra vez a apoyado a Gatell.","@GlodeJo07 lo ha dicho siempre, una y otra vez a apoyado a Gatell."
633,"100,000 muertes❗El fracaso del otro López. Hugo López-Gatell perdió la batalla por más que el zar del coronavirus se burle, de lecciones de periodismo, trate con desprecio a sus maestros y pares, y soberbia al resto, la realidad lo aplastó. La estrategia del subsecretario de","100,000 muertes❗El fracaso del otro López. Hugo López-Gatell perdió la batalla por más que el zar del coronavirus se burle, de lecciones de periodismo, trate con desprecio a sus maestros y pares, y soberbia al resto, la realidad lo aplastó. La estrategia del subsecretario de"
634,@serric1007 @HLGatell #DrMuerte Gatell es un títere. Un fiel servidor de su amo #LopezAsesino #VxM,@serric1007 @HLGatell #DrMuerte Gatell es un títere. Un fiel servidor de su amo #LopezAsesino #VxM
635,@concursomemes #Gatell alias el #DrMuerte es todo un rockstar 👇 #Concursomemes ,@concursomemes #Gatell alias el #DrMuerte es todo un rockstar 👇 #Concursomemes 
636,@LOVREGA sip Gatell ocupa el primer lugar...... ahi esta ,@LOVREGA sip Gatell ocupa el primer lugar...... ahi esta 
637,No todos los que estamos en contra del manejo de la pandemia por parte de Gatell somos enemigos de la 4T o oposición. Date cuenta... El Dr. boicoteo hasta que pudo el uso del cubrebocas y minimizo la pandemia. Si... es Co-responsable de tantas muertes y tantos contagios. PUNTO,No todos los que estamos en contra del manejo de la pandemia por parte de Gatell somos enemigos de la 4T o oposición. Date cuenta... El Dr. boicoteo hasta que pudo el uso del cubrebocas y minimizo la pandemia. Si... es Co-responsable de tantas muertes y tantos contagios. PUNTO
638,"@El_Universal_Mx Ayer en Palacio Nacional, ocurrieron dos eventos totalmente diferentes: el presidente López Obrador ingirió sus alimentos a las 2pm y Hugo López Gatell informaba que México había llegado a 100 mil muertos ¡#aZiNoAnLo! No debes comer hasta que no haya muertos 🤦🏻‍♂️","@El_Universal_Mx Ayer en Palacio Nacional, ocurrieron dos eventos totalmente diferentes: el presidente López Obrador ingirió sus alimentos a las 2pm y Hugo López Gatell informaba que México había llegado a 100 mil muertos ¡#aZiNoAnLo! No debes comer hasta que no haya muertos 🤦🏻‍♂️"
639,@LOVREGA Estoy seguro que eso mismo deben decir los muertos de Gatell...,@LOVREGA Estoy seguro que eso mismo deben decir los muertos de Gatell...
640,"@EmmaChoquita Por mi chinguen a su madre tu y Gatell, pinché chaira apestoza!!!","@EmmaChoquita Por mi chinguen a su madre tu y Gatell, pinché chaira apestoza!!!"
