,index,date,time,tweet,language,parse,Category
90,90,25/02/2022,23:26:02,special flight airindia ai1943 lands bucharest romania evacuation stranded indians worldwariii ukrainerussiacrisis ukraineconflict ukrainewar russianinvasion ukraineinvasion,en,special flight airindia ai1943 lands bucharest romania evacuation stranded indians worldwariii ukrainerussiacrisis ukraineconflict ukrainewar russianinvasion ukraineinvasion,_
91,91,25/02/2022,23:25:56,think stop like liquid come fire,en,think stop like liquid come fire,_
92,92,25/02/2022,23:25:27,much case ww2 leaders appear west well underway must survive ill bet conservatives rightwing extremists wont care reelection getting 2 side,en,much case ww2 leaders appear west well underway must survive ill bet conservatives rightwing extremists wont care reelection getting 2 side,_
93,93,25/02/2022,23:25:24,long turned intercontinental ballistic missiles,en,long turned intercontinental ballistic missiles,_
94,94,25/02/2022,23:25:21,history revolves around thats stand worldwariii,en,history revolves around thats stand worldwariii,_
95,95,25/02/2022,23:25:05,grow food build local supply chains society crumbling save build new systems much use crying abusive system change nwo wef greatreset convoyforfreedom2022 bidenisadisgrace homesteading protest convoyforfreedom,en,grow food build local supply chains society crumbling save build new systems much use crying abusive system change nwo wef greatreset convoyforfreedom2022 bidenisadisgrace homesteading protest convoyforfreedom,_
96,96,25/02/2022,23:25:03,sanctions useless way saying cowards,en,sanctions useless way saying cowards,_
97,97,25/02/2022,23:24:38,breaking update special flight airindia ai1943 lands bucharest romania🇷🇴 evacuation stranded indians ukrainecrisis ukrainerussiacrisis russiaukrainecrisis,en,breaking update special flight airindia ai1943 lands bucharest romania🇷🇴 evacuation stranded indians ukrainecrisis ukrainerussiacrisis russiaukrainecrisis,_
98,98,25/02/2022,23:24:28,gunfire erupts inside ukrainian capital worldwariii ukrainerussiacrisis ukraineconflict ukrainewar russianinvasion ukraineinvasion,en,gunfire erupts inside ukrainian capital worldwariii ukrainerussiacrisis ukraineconflict ukrainewar russianinvasion ukraineinvasion,_
99,99,25/02/2022,23:24:19,many times supported india kashmir pakistan galwan nuclear test support country always hostile towards cannot shake hands clenched fist indira gandhi ukrainevsrussia,en,many times supported india kashmir pakistan galwan nuclear test support country always hostile towards cannot shake hands clenched fist indira gandhi ukrainevsrussia,_
100,100,25/02/2022,23:24:17,0123pm saturday 02262022 gmt+8 status changing chaos everywhere taiwan ukraineinvasion tweetdaily,en,0123pm saturday 02262022 gmt+8 status changing chaos everywhere taiwan ukraineinvasion tweetdaily,_
101,101,25/02/2022,23:23:58,groundwater damage since annexation crimea donets coal basin 'donbas' faced significant damages contains active inactive land mines pumped regularly groundwater flood themrussiaukrainewar nuclear nature,en,groundwater damage since annexation crimea donets coal basin 'donbas' faced significant damages contains active inactive land mines pumped regularly groundwater flood themrussiaukrainewar nuclear nature,_
102,102,25/02/2022,23:23:11,slavic people racist types white idrc theyre casual racism towards blacks asians middle easterns forgotten,en,slavic people racist types white idrc theyre casual racism towards blacks asians middle easterns forgotten,_
103,103,25/02/2022,23:22:32,stopthewar yousupport palestine syria lebanon iraq condemn israel usa highest level hypocrisy rtagree الحرب_الروسيه_الاوكرانية russiaukrainewarday3,en,stopthewar yousupport palestine syria lebanon iraq condemn israel usa highest level hypocrisy rtagree الحرب_الروسيه_الاوكرانية russiaukrainewarday3,_
104,104,25/02/2022,23:21:05,people need stronger president willing take action need need learn place like germany 40s glorytoukraine standwithukriane fuckrussia putinhitler,en,people need stronger president willing take action need need learn place like germany 40s glorytoukraine standwithukriane fuckrussia putinhitler,_
105,105,25/02/2022,23:19:15,thats love space explorationit sorts everything focus important humanitythats drive everythingthe preservation life one planet stock poutine ukrainewar,en,thats love space explorationit sorts everything focus important humanitythats drive everythingthe preservation life one planet stock poutine ukrainewar,_
106,106,25/02/2022,23:18:50,good yall🙏🏽,en,good yall🙏🏽,_
107,107,25/02/2022,23:18:43,fucking true ukranian ukrainewar,en,fucking true ukranian ukrainewar,_
108,108,25/02/2022,23:18:33,got go fight militarydraft draft,en,got go fight militarydraft draft,_
109,109,25/02/2022,23:18:23,true leader putinisawarcriminal mr president warinukraine,en,true leader putinisawarcriminal mr president warinukraine,_
110,110,25/02/2022,23:18:19,"time put aside petty fights unite one alliance west whole west even ""superpower"" america kneel thought america india",en,"time put aside petty fights unite one alliance west whole west even ""superpower"" america kneel thought america india",_
111,111,25/02/2022,23:18:17,ukrainians proud leader man offered evacuated responded need ammunition ride thought would easy take think,en,ukrainians proud leader man offered evacuated responded need ammunition ride thought would easy take think,_
112,112,26/02/2022,23:58:21,joanneanewday trump kept peace control despite democrats attacks globalists bring warinstability always high money laundering scheme feeds god serve innocent blood biden ushered call jesus trumpwasright,en,joanneanewday trump kept peace control despite democrats attacks globalists bring warinstability always high money laundering scheme feeds god serve innocent blood biden ushered call jesus trumpwasright,_
113,113,26/02/2022,23:57:10,used peaceful country lovely people anymore enters fireballs zelensky people going defend inhumane demons zelensky putinhitler,en,used peaceful country lovely people anymore enters fireballs zelensky people going defend inhumane demons zelensky putinhitler,_
114,114,26/02/2022,23:55:46,third story like today guess took brink,en,third story like today guess took brink,_
115,115,26/02/2022,23:53:46,ukrainian president acting like politician campaign trail time everyone creaming pants,en,ukrainian president acting like politician campaign trail time everyone creaming pants,_
116,116,26/02/2022,23:53:19,incredible seeing strength people ❤️ woman daughter stand front burning home hit troops ukrainewar,en,incredible seeing strength people ❤️ woman daughter stand front burning home hit troops ukrainewar,_
117,117,26/02/2022,23:53:08,realize already 4 days frontline natomustbeinukraine saveukrainenow,en,realize already 4 days frontline natomustbeinukraine saveukrainenow,_
118,118,26/02/2022,23:52:50,aiding buying natural gas make electricity instead operating nuclear plants please commit reopening three reactors closed continuing operation three reactors set close december germany,en,aiding buying natural gas make electricity instead operating nuclear plants please commit reopening three reactors closed continuing operation three reactors set close december germany,_
119,119,26/02/2022,23:51:46,attention call duty keyboard commandos chance show,en,attention call duty keyboard commandos chance show,_
120,120,26/02/2022,23:50:13,well weve certainly set template trump ever comes back starts shit,en,well weve certainly set template trump ever comes back starts shit,_
121,121,26/02/2022,23:49:14,troops destroyed commercial oil base near vasylkiv civilians need evacuate since fumes fires big ecological catastrophe whole europe europe,en,troops destroyed commercial oil base near vasylkiv civilians need evacuate since fumes fires big ecological catastrophe whole europe europe,_
122,122,26/02/2022,23:49:08,"🚨new streaming series theblackexodus work fiction exerpt china declares ""chinese watched horror black nurse gunned baby military leaders china japan korea",en,"🚨new streaming series theblackexodus work fiction exerpt china declares ""chinese watched horror black nurse gunned baby military leaders china japan korea",_
123,123,26/02/2022,23:49:05,brackmoo ukrania rusia warinukraine cancel,en,brackmoo ukrania rusia warinukraine cancel,_
124,124,26/02/2022,23:48:52,february 24th 2022 2018 stop believing asshole maria alejandra salomon fakebook making shit say name olenakurilo kyiv ukrainerussiaconflict ukrainerussiacrisis kiev,en,february 24th 2022 2018 stop believing asshole maria alejandra salomon fakebook making shit say name olenakurilo kyiv ukrainerussiaconflict ukrainerussiacrisis kiev,_
125,125,26/02/2022,23:48:02,nothing good peace😪 please stop ⚠,en,nothing good peace😪 please stop ⚠,_
126,126,26/02/2022,23:45:04,matter country wins internet stays undefeated 😆🤣👏👏👏 putinhitler vladimirmcpoyle,en,matter country wins internet stays undefeated 😆🤣👏👏👏 putinhitler vladimirmcpoyle,_
127,127,26/02/2022,23:43:48,🙏🏽 ukrainian locals remove road signs confuse russians ukraineinvasion ukrainerussiacrisis worldwariii,en,🙏🏽 ukrainian locals remove road signs confuse russians ukraineinvasion ukrainerussiacrisis worldwariii,_
128,128,26/02/2022,23:43:05,amazing see common take streets protest knowing theyll face consequences political wars fought politicians wish org like ufc politicians russianinvasion,en,amazing see common take streets protest knowing theyll face consequences political wars fought politicians wish org like ufc politicians russianinvasion,_
129,129,26/02/2022,23:37:24,say people like trudeau biden xi leaders know vaccine done allows act though people die soon anyway military vax mandate chinese military vax mandate,en,say people like trudeau biden xi leaders know vaccine done allows act though people die soon anyway military vax mandate chinese military vax mandate,_
130,130,26/02/2022,23:37:03,behind every strong woman strange story russiaukrainecrisis russianarmy,en,behind every strong woman strange story russiaukrainecrisis russianarmy,_
131,131,26/02/2022,23:35:54,loading anonymous,en,loading anonymous,_
132,132,26/02/2022,23:35:01,memories day 5 nft memories collection opensea price 008 check nfts nftshill nftcommunity nftart nftartist nftcommunity nftcollection nftdrop nftcollectors eth artwork kiev stopwar art arts,en,memories day 5 nft memories collection opensea price 008 check nfts nftshill nftcommunity nftart nftartist nftcommunity nftcollection nftdrop nftcollectors eth artwork kiev stopwar art arts,_
133,133,26/02/2022,23:33:59,anonymous 😍😉 game began,en,anonymous 😍😉 game began,_
