,tweet,parse
1510,"@omegar @LeonKrauze Como veo tl lleno odio hacia Dr. Gatell, Te envio información, aclaro hacerte enojar, informes nadamás.😎 Jajaja OMS tan chaira vedá??🤣","@omegar @LeonKrauze Como veo tl lleno odio hacia Dr. Gatell, Te envio información, aclaro hacerte enojar, informes nadamás.😎 Jajaja OMS tan chaira vedá??🤣"
1511,"@CiroGomezL @HLGatell Por cada una, Ciro. Este virus obra satánica Gatell. Incluso si mueres manda derechito infierno. Se sabe.","@CiroGomezL @HLGatell Por cada una, Ciro. Este virus obra satánica Gatell. Incluso si mueres manda derechito infierno. Se sabe."
1512,Calderón cuestionó cifras ofrecidas López-Gatell,Calderón cuestionó cifras ofrecidas López-Gatell
1513,"Pero no, pasaron casi 8 meses Gatell fin dijera siempre necesario, embargo presidente sigue renuente, yendo lados cuidarse, pensar mucha gente sigue ciegas usan ""si presidente usa"".","Pero no, pasaron casi 8 meses Gatell fin dijera siempre necesario, embargo presidente sigue renuente, yendo lados cuidarse, pensar mucha gente sigue ciegas usan ""si presidente usa""."
1514,"Y claro, culpa presidente, Gatell contagiado, gente fecha después 10 mil muertos covid aún cree, cuida, duda diferente si principio dicho cubrebocas sirve","Y claro, culpa presidente, Gatell contagiado, gente fecha después 10 mil muertos covid aún cree, cuida, duda diferente si principio dicho cubrebocas sirve"
1515,"El día presidente entienda competencia países ver va peor, tal vez cuenta va bien Gatell 100 mil muertos","El día presidente entienda competencia países ver va peor, tal vez cuenta va bien Gatell 100 mil muertos"
1516,"""López-Gatell hecho muerte asunto banal, recuento cotidiano intenta rehuir responsabilidades y, todo, importunar lectura paralela realidad impera Palacio Nacional"", Julián Andrade @jandradej","""López-Gatell hecho muerte asunto banal, recuento cotidiano intenta rehuir responsabilidades y, todo, importunar lectura paralela realidad impera Palacio Nacional"", Julián Andrade @jandradej"
1517,@acostanaranjo Ahora llamémoslo Thanos Gatell,@acostanaranjo Ahora llamémoslo Thanos Gatell
1518,Hoy México 100 mil muertos covid-19: López-Gatell,Hoy México 100 mil muertos covid-19: López-Gatell
1519,"Es comprensible ataque gobierno lleva política salud pandemia, Gatell soberbia desdén, imperdonable.","Es comprensible ataque gobierno lleva política salud pandemia, Gatell soberbia desdén, imperdonable."
1520,@panaclo @HLGatell Gatell p3nd3jo! #DrMuerte #DrMuerte #DrMuerte #DrMuerte #DrMuerte,@panaclo @HLGatell Gatell p3nd3jo! #DrMuerte #DrMuerte #DrMuerte #DrMuerte #DrMuerte
1521,"Goey presidente viaja aerolínea ¿No notado laxo protocolos? O simplemente vale madre, 100 mil muertes, dice Gatell ser alarmistas ¿Quien peor, Ellos hacen nada, lavacaras?","Goey presidente viaja aerolínea ¿No notado laxo protocolos? O simplemente vale madre, 100 mil muertes, dice Gatell ser alarmistas ¿Quien peor, Ellos hacen nada, lavacaras?"
1522,"@alanqr @lopezobrador_ Y López-Gatell, usa? Será misma razón?","@alanqr @lopezobrador_ Y López-Gatell, usa? Será misma razón?"
1523,"@thebaconismygod @goliveros No comparto. La culpa gente. Cada persona responsable actos, creencias. Lejos Barbosa Gatell dicho barbaridades, población fuentes suficientes conocer medidas sanitarias salir adelante.","@thebaconismygod @goliveros No comparto. La culpa gente. Cada persona responsable actos, creencias. Lejos Barbosa Gatell dicho barbaridades, población fuentes suficientes conocer medidas sanitarias salir adelante."
1524,"México llega 100 mil muertos Covid, cifra ""inusual"", reconoce López-Gatell","México llega 100 mil muertos Covid, cifra ""inusual"", reconoce López-Gatell"
1525,"Mientras López Gatell ríe mexicanos, hoy #NosFaltanCienMil","Mientras López Gatell ríe mexicanos, hoy #NosFaltanCienMil"
1526,"@vicco62962644 @YuririaSierra Eso Gobierno mierda ineptos Gatell,,,","@vicco62962644 @YuririaSierra Eso Gobierno mierda ineptos Gatell,,,"
1527,"@CiroGomezL @HLGatell 1/2 Mas 100,000 muertos. En México, culpa AMLO Dr. Muerte Gatell diario infectan mas 4500 personas, cada día mueren mas 500. Para ejemplo manejo correcto, Nueva Zelanda: lleva 25 muertos toda pandemia, último falleció 17 septiembre","@CiroGomezL @HLGatell 1/2 Mas 100,000 muertos. En México, culpa AMLO Dr. Muerte Gatell diario infectan mas 4500 personas, cada día mueren mas 500. Para ejemplo manejo correcto, Nueva Zelanda: lleva 25 muertos toda pandemia, último falleció 17 septiembre"
1528,"¶ “Lopez Gatell hecho trabajo extraordinario, excepcional”. - 🤪","¶ “Lopez Gatell hecho trabajo extraordinario, excepcional”. - 🤪"
